Stadium,City,State,Team,Conference,Capacity,Record1,Built,Expanded,Surface
TCF Bank Stadium,Minneapolis,MN,Minnesota,Big Ten,50805,54147,2009,,FieldTurf
Tiger Stadium,Baton Rouge,LA,LSU,SEC,102321,102321,1924,2014,Grass
UB Stadium,Amherst,NY,Buffalo,MAC,29013,29795 ,1993,,A-Turf Titan
Vanderbilt Stadium,Nashville,TN,Vanderbilt,SEC,40350,41448,1922,2012,Shaw Sports Legion 46
Vaught–Hemingway Stadium at Hollingsworth Field,Oxford,MS,Mississippi,SEC,64038,66176,1915,2016,Grass
Veterans Memorial Stadium at Larry Blakeney Field,Troy,AL,Troy,Sun Belt,30402,29013,1950,2003,ProGrass
Waldo Stadium,Kalamazoo,MI,Western Michigan,MAC,30200,36361,1939,2003,FieldTurf
Warren McGuirk Alumni Stadium,Hadley,MA,UMass,Independent,17000,17000,1965,2014,FieldTurf
Wayne Day Family Field at Carter–Finley Stadium,Raleigh,NC,NC State,ACC,57583,57583,1966,2006,Tifway 419 Bermuda Grass
Williams-Brice Stadium,Columbia,SC,South Carolina,SEC,80250,85199,1934,1996,Grass
